timestamp,open,high,low,close,vol,start
2019-03-15 11:00:46.697,13740,13755,13735,13755,73615,2019-03-15 10:58:58.245
2019-03-15 11:02:03.957,13755,13770,13745,13770,72718,2019-03-15 11:00:46.697
2019-03-15 11:03:02.703,13770,13800,13770,13800,72891,2019-03-15 11:02:03.957
2019-03-15 11:03:26.666,13800,13830,13790,13820,72581,2019-03-15 11:03:02.703
2019-03-15 11:04:08.757,13820,13835,13815,13830,73332,2019-03-15 11:03:26.666
2019-03-15 11:04:54.262,13830,13890,13825,13890,75742,2019-03-15 11:04:08.757
2019-03-15 11:05:03.179,13890,13920,13885,13920,72741,2019-03-15 11:04:54.262
2019-03-15 11:05:27.639,13920,13935,13910,13925,73463,2019-03-15 11:05:03.179
2019-03-15 11:05:54.456,13925,13930,13880,13880,73378,2019-03-15 11:05:27.639
2019-03-15 11:06:58.796,13880,13900,13860,13865,72475,2019-03-15 11:05:54.456
2019-03-15 11:09:00.509,13865,13890,13860,13870,72067,2019-03-15 11:06:58.796
2019-03-15 11:10:48.173,13870,13880,13850,13850,72561,2019-03-15 11:09:00.509
2019-03-15 11:11:21.116,13850,13850,13800,13815,74662,2019-03-15 11:10:48.173
2019-03-15 11:12:33.052,13815,13850,13810,13850,72759,2019-03-15 11:11:21.116
2019-03-15 11:13:54.108,13850,13870,13820,13825,72239,2019-03-15 11:12:33.052
2019-03-15 11:16:32.702,13825,13850,13805,13850,72655,2019-03-15 11:13:54.108
2019-03-15 11:18:54.853,13850,13880,13840,13880,73484,2019-03-15 11:16:32.702
2019-03-15 11:19:52.476,13880,13915,13880,13915,72125,2019-03-15 11:18:54.853
2019-03-15 11:20:22.986,13915,13950,13905,13920,72189,2019-03-15 11:19:52.476
2019-03-15 11:21:38.324,13920,13930,13910,13915,74051,2019-03-15 11:20:22.986
2019-03-15 11:23:19.788,13915,13925,13895,13910,72246,2019-03-15 11:21:38.324
2019-03-15 11:25:03.653,13910,13910,13855,13860,72124,2019-03-15 11:23:19.788
2019-03-15 11:28:19.874,13860,13900,13860,13890,72500,2019-03-15 11:25:03.653
2019-03-15 11:30:07.615,13890,13910,13885,13910,74287,2019-03-15 11:28:19.874
2019-03-15 11:32:46.077,13910,13920,13905,13905,72410,2019-03-15 11:30:07.615
2019-03-15 11:35:02.032,13905,13905,13870,13870,76704,2019-03-15 11:32:46.077
2019-03-15 11:38:24.860,13870,13885,13860,13860,73450,2019-03-15 11:35:02.032
2019-03-15 11:39:09.876,13860,13865,13840,13845,78156,2019-03-15 11:38:24.860
2019-03-15 11:39:19.356,13845,13850,13835,13845,72874,2019-03-15 11:39:09.876
2019-03-15 11:40:45.481,13845,13865,13835,13850,73736,2019-03-15 11:39:19.356
2019-03-15 11:42:39.660,13850,13860,13825,13825,72497,2019-03-15 11:40:45.481
2019-03-15 11:46:19.045,13825,13885,13825,13880,72613,2019-03-15 11:42:39.660
2019-03-15 11:49:30.398,13880,13900,13870,13880,72258,2019-03-15 11:46:19.045
2019-03-15 11:57:20.635,13880,13895,13860,13860,72698,2019-03-15 11:49:30.398
2019-03-15 11:58:15.266,13860,13860,13825,13830,73654,2019-03-15 11:57:20.635
2019-03-15 11:59:42.661,13830,13845,13780,13780,73844,2019-03-15 11:58:15.266
2019-03-15 12:02:12.350,13780,13815,13760,13760,73037,2019-03-15 11:59:42.661
2019-03-15 12:04:02.701,13760,13780,13750,13750,75592,2019-03-15 12:02:12.350
2019-03-15 12:05:34.356,13750,13770,13745,13745,72898,2019-03-15 12:04:02.701
2019-03-15 12:06:50.375,13745,13745,13710,13710,72940,2019-03-15 12:05:34.356
2019-03-15 12:08:30.169,13710,13715,13700,13710,73647,2019-03-15 12:06:50.375
2019-03-15 12:09:43.591,13710,13710,13680,13680,75467,2019-03-15 12:08:30.169
2019-03-15 12:11:29.708,13680,13695,13670,13690,73147,2019-03-15 12:09:43.591
2019-03-15 12:12:21.663,13690,13700,13680,13690,74240,2019-03-15 12:11:29.708
2019-03-15 12:14:07.805,13690,13715,13690,13705,73191,2019-03-15 12:12:21.663
2019-03-15 12:15:23.896,13705,13715,13675,13675,73847,2019-03-15 12:14:07.805
2019-03-15 12:18:13.706,13675,13700,13660,13660,73807,2019-03-15 12:15:23.896
